"characterid";"modelname";"categoryid";"image"
"272";"Bratva.Elite_Grenadier_M03";"6";
"273";"Bratva.Elite_Grenadier_M04";"6";
"274";"Bratva.Enforcer_MO_01";"6";
"275";"Bratva.Enforcer_MO_02";"6";
"276";"Bratva.Enforcer_MO_03";"6";
"277";"Bratva.Enforcer_MO_04";"6";
"278";"Bratva.Gunman_M_01";"6";
"279";"Bratva.Gunman_M_02";"6";
"280";"Bratva.Gunman_M_03";"6";
"281";"Bratva.Gunman_M_04";"6";
"282";"Bratva.Gunman_M_05";"6";
"283";"Bratva.Gunman_M_06";"6";
"284";"Bratva.Gunman_M_07";"6";
"285";"Bratva.Gunman_M_08";"6";
"286";"Bratva.Gunman_M_09";"6";
"287";"Bratva.Gunman_M_10";"6";
"288";"Bratva.Jammer_M_01";"6";
"289";"Bratva.Jammer_M_02";"6";
"290";"Bratva.Jammer_M_03";"6";
"291";"Bratva.Jammer_M_04";"6";
"292";"Bratva.Marksman_M_01";"6";
"293";"Bratva.Marksman_M_02";"6";
"294";"Bratva.Marksman_M_03";"6";
"295";"Bratva.Marksman_M_04";"6";
"296";"ArmoredGunman_M_01";"7";
"297";"ArmoredGunman_M_02";"7";
"298";"ArmoredGunman_M_03";"7";
"299";"ArmoredGunman_M_04";"7";
"300";"Enforcer_MO_01";"7";
"301";"Gunman_M_01";"7";
"302";"Gunman_M_02";"7";
"303";"Gunman_M_03";"7";
"304";"Gunman_M_04";"7";
"305";"Marskman_M_01";"7";
"306";"Marskman_M_02";"7";
"307";"Marskman_M_03";"7";
"308";"Marskman_M_04";"7";
"309";"Marinmember.dedsec_F_04";"8";
"310";"Marinmember.dedsec_F_09";"8";
"311";"Marinmember.dedsec_F_10";"8";
"312";"Marinmember.dedsec_M_09";"8";
"313";"Marinmember.dedsec_M_10";"8";
"314";"Oaklandmember.dedsec_F_01";"8";
"315";"Oaklandmember.dedsec_F_07";"8";
"316";"Oaklandmember.dedsec_M_04";"8";
"317";"Oaklandmember.dedsec_M_05";"8";
"318";"Oaklandmember.dedsec_M_06";"8";
"319";"Protester.dedsec_F_01";"8";
"320";"Protester.dedsec_F_02";"8";
"321";"Protester.dedsec_F_03";"8";
"322";"Protester.dedsec_F_04";"8";
"323";"Protester.dedsec_F_05";"8";
"324";"Protester.dedsec_F_06";"8";
"325";"Protester.dedsec_F_07";"8";
"326";"Protester.dedsec_F_08";"8";
"327";"Protester.dedsec_M_01";"8";
"328";"Protester.dedsec_M_02";"8";
"329";"Protester.dedsec_M_03";"8";
"330";"Protester.dedsec_M_04";"8";
"331";"Protester.dedsec_M_05";"8";
"332";"Protester.dedsec_M_06";"8";
"333";"Protester.dedsec_M_07";"8";
"334";"Protester.dedsec_M_08";"8";
"335";"SFmember.dedsec_F_03";"8";
"336";"SFmember.dedsec_F_06";"8";
"337";"SFmember.dedsec_M_02";"8";
"338";"SFmember.dedsec_M_03";"8";
"339";"SFmember.dedsec_M_08";"8";
"340";"Siliconmember.dedsec_F_02";"8";
"341";"Siliconmember.dedsec_F_05";"8";
"342";"Siliconmember.dedsec_F_08";"8";
"343";"Siliconmember.dedsec_M_01";"8";
"344";"Siliconmember.dedsec_M_07";"8";
"345";"Gunman_F_UC_01";"9";
"346";"Gunman_F_UC_02";"9";
"347";"Gunman_F_UC_03";"9";
"348";"Gunman_F_UC_04";"9";
"349";"Gunman_M_UC_01";"9";
"350";"Gunman_M_UC_02";"9";
"351";"Gunman_M_UC_03";"9";
"352";"Gunman_M_UC_04";"9";
"353";"Affiliated_F_01";"10";
"354";"Affiliated_F_01.Motocross_Talker";"10";
"355";"Affiliated_F_02";"10";
"356";"Affiliated_F_03";"10";
"357";"Affiliated_F_04";"10";
"358";"Affiliated_F_05";"10";
"359";"Affiliated_F_06";"10";
"360";"Affiliated_F_07";"10";
"361";"Affiliated_F_08";"10";
"362";"Affiliated_F_09";"10";
"363";"Affiliated_F_10";"10";
"364";"Affiliated_M_01";"10";
"365";"Affiliated_M_02";"10";
"366";"Affiliated_M_03";"10";
"367";"Affiliated_M_04";"10";
"368";"Affiliated_M_05";"10";
"369";"Affiliated_M_06";"10";
"370";"Affiliated_M_07";"10";
"371";"Affiliated_M_08";"10";
"372";"Affiliated_M_09";"10";
"373";"Affiliated_M_10";"10";
"374";"Armored_Gunman_F_01";"10";
"375";"Armored_Gunman_F_02";"10";
"376";"Armored_Gunman_F_03";"10";
"377";"Armored_Gunman_F_04";"10";
"378";"Armored_Gunman_F_05";"10";
"379";"Armored_Gunman_M_01";"10";
"380";"Armored_Gunman_M_02";"10";
"381";"Armored_Gunman_M_03";"10";
"382";"Armored_Gunman_M_04";"10";
"383";"Armored_Gunman_M_05";"10";
"384";"Armored_Gunman_M_06";"10";
"385";"Armored_Gunman_M_07";"10";
"386";"Armored_Gunman_M_08";"10";
"387";"Armored_Gunman_M_09";"10";
"388";"Armored_Gunman_M_10";"10";
"389";"EliteGrenadier_M_01";"10";
"390";"EliteGrenadier_M_02";"10";
"391";"EliteGrenadier_M_03";"10";
"392";"EliteGrenadier_M_04";"10";
"393";"Enforcer_MO_01";"10";
"394";"Enforcer_MO_02";"10";
"395";"Enforcer_MO_03";"10";
"396";"Enforcer_M_04";"10";
"397";"Enforcer_M_05";"10";
"398";"Gunman_F_01";"10";
"399";"Gunman_F_02";"10";
"400";"Gunman_F_03";"10";
"401";"Gunman_F_04";"10";
"402";"Gunman_F_05";"10";
"403";"Gunman_F_06";"10";
"404";"Gunman_F_07";"10";
"405";"Gunman_M_01";"10";
"406";"Gunman_M_02";"10";
"407";"Gunman_M_03";"10";
"408";"Gunman_M_04";"10";
"409";"Gunman_M_05";"10";
"410";"Gunman_M_06";"10";
"411";"Gunman_M_07";"10";
"412";"Gunman_M_08";"10";
"413";"Gunman_M_09";"10";
"414";"Gunman_M_10";"10";
"415";"Gunman_M_11";"10";
"416";"Gunman_M_12";"10";
"417";"Gunman_M_13";"10";
"418";"Gunman_M_14";"10";
"419";"Gunman_M_15";"10";
"420";"Jammer_M_01";"10";
"421";"Jammer_M_02";"10";
"422";"Jammer_M_03";"10";
"423";"Jammer_M_04";"10";
"424";"Marksman_M_01";"10";
"425";"Marksman_M_02";"10";
"426";"Marksman_M_03";"10";
"427";"Marksman_M_04";"10";
"428";"Marksman_M_05";"10";
"429";"Marksman_M_06";"10";
"430";"Armored_Gunman_F_01";"11";
"431";"Armored_Gunman_F_02";"11";
"432";"Armored_Gunman_F_03";"11";
"433";"Armored_Gunman_F_04";"11";
"434";"Armored_Gunman_F_05";"11";
"435";"Armored_Gunman_F_06";"11";
"436";"Armored_Gunman_M_01";"11";
"437";"Armored_Gunman_M_02";"11";
"438";"Armored_Gunman_M_03";"11";
"439";"Armored_Gunman_M_04";"11";
"440";"Armored_Gunman_M_05";"11";
"441";"Armored_Gunman_M_06";"11";
"442";"Armored_Gunman_M_07";"11";
"443";"Armored_Gunman_M_08";"11";
"444";"EliteGrenadier_M_01";"11";
"445";"EliteGrenadier_M_02";"11";
"446";"EliteGrenadier_M_03";"11";
"447";"EliteGrenadier_M_04";"11";
"448";"Elite_M_01";"11";
"449";"Elite_M_02";"11";
"450";"Elite_M_03";"11";
"451";"Elite_M_04";"11";
"452";"Elite_M_05";"11";
"453";"Elite_M_06";"11";
"454";"Enforcer_F_01";"11";
"455";"Enforcer_M_01";"11";
"456";"Enforcer_M_02";"11";
"457";"Enforcer_M_03";"11";
"458";"Enforcer_M_04";"11";
"459";"Enforcer_M_05";"11";
"460";"Enforcer_M_06";"11";
"461";"Gunman_F_01";"11";
"462";"Gunman_F_02";"11";
"463";"Gunman_F_03";"11";
"464";"Gunman_F_04";"11";
"465";"Gunman_F_05";"11";
"466";"Gunman_F_06";"11";
"467";"Gunman_M_01";"11";
"468";"Gunman_M_02";"11";
"469";"Gunman_M_03";"11";
"470";"Gunman_M_04";"11";
"471";"Gunman_M_05";"11";
"472";"Gunman_M_06";"11";
"473";"Gunman_M_07";"11";
"474";"Gunman_M_08";"11";
"475";"Marksman_M_01";"11";
"476";"Marksman_M_02";"11";
"477";"Marksman_M_03";"11";
"478";"Marksman_M_04";"11";
"479";"Armored_Gunman_F_01";"12";
"480";"Armored_Gunman_F_02";"12";
"481";"Armored_Gunman_F_03";"12";
"482";"Armored_Gunman_F_04";"12";
"483";"Armored_Gunman_F_05";"12";
"484";"Armored_Gunman_F_06";"12";
"485";"Armored_Gunman_F_07";"12";
"486";"Armored_Gunman_F_08";"12";
"487";"Armored_Gunman_F_09";"12";
"488";"Armored_Gunman_F_10";"12";
"489";"Armored_Gunman_F_11";"12";
"490";"Armored_Gunman_F_12";"12";
"491";"Armored_Gunman_F_13";"12";
"492";"Armored_Gunman_F_14";"12";
"493";"Armored_Gunman_F_15";"12";
"494";"Armored_Gunman_F_16";"12";
"495";"Armored_Gunman_F_17";"12";
"496";"Armored_Gunman_F_18";"12";
"497";"Armored_Gunman_F_19";"12";
"498";"Armored_Gunman_F_20";"12";
"499";"Armored_Gunman_F_21";"12";
"500";"Armored_Gunman_F_22";"12";
"501";"Armored_Gunman_F_23";"12";
"502";"Armored_Gunman_F_24";"12";
"503";"Armored_Gunman_F_25";"12";
"504";"Armored_Gunman_F_26";"12";
"505";"Armored_Gunman_F_27";"12";
"506";"Armored_Gunman_F_28";"12";
"507";"Armored_Gunman_F_30";"12";
"508";"Armored_Gunman_M_01";"12";
"509";"Armored_Gunman_M_02";"12";
"510";"Armored_Gunman_M_03";"12";
"511";"Armored_Gunman_M_04";"12";
"512";"Armored_Gunman_M_05";"12";
"513";"Armored_Gunman_M_06";"12";
"514";"Armored_Gunman_M_07";"12";
"515";"Armored_Gunman_M_08";"12";
"516";"Armored_Gunman_M_09";"12";
"517";"Armored_Gunman_M_10";"12";
"518";"Armored_Gunman_M_11";"12";
"519";"Armored_Gunman_M_12";"12";
"520";"Armored_Gunman_M_13";"12";
"521";"Armored_Gunman_M_14";"12";
"522";"Armored_Gunman_M_15";"12";
"523";"Armored_Gunman_M_16";"12";
"524";"Armored_Gunman_M_17";"12";
"525";"Armored_Gunman_M_18";"12";
"526";"Armored_Gunman_M_19";"12";
"527";"Armored_Gunman_M_20";"12";
"528";"Armored_Gunman_M_21";"12";
"529";"Armored_Gunman_M_22";"12";
"530";"Armored_Gunman_M_23";"12";
"531";"Armored_Gunman_M_24";"12";
"532";"Armored_Gunman_M_25";"12";
"533";"Armored_Gunman_M_26";"12";
"534";"Armored_Gunman_M_27";"12";
"535";"Armored_Gunman_M_28";"12";
"536";"Armored_Gunman_M_29";"12";
"537";"Armored_Gunman_M_30";"12";
"538";"Armored_Gunman_M_31";"12";
"539";"Armored_Gunman_M_32";"12";
"540";"EliteGrenadier_M_01";"12";
"541";"EliteGrenadier_M_02";"12";
"542";"EliteGrenadier_M_03";"12";
"543";"EliteGrenadier_M_04";"12";
"544";"Elite_M_01";"12";
"545";"Elite_M_02";"12";
"546";"Elite_M_03";"12";
"547";"Elite_M_04";"12";
"548";"Elite_M_05";"12";
"549";"Elite_M_06";"12";
"550";"Elite_M_07";"12";
"551";"Elite_M_08";"12";
"552";"Elite_M_09";"12";
"553";"Elite_M_10";"12";
"554";"Elite_M_11";"12";
"555";"Elite_M_12";"12";
"556";"Enforcer_M_01";"12";
"557";"Enforcer_M_02";"12";
"558";"Enforcer_M_03";"12";
"559";"Enforcer_M_04";"12";
"560";"Enforcer_M_05";"12";
"561";"Enforcer_M_06";"12";
"562";"Enforcer_M_07";"12";
"563";"Enforcer_M_08";"12";
"564";"Gunman_F_01";"12";
"565";"Gunman_F_02";"12";
"566";"Gunman_F_03";"12";
"567";"Gunman_F_04";"12";
"568";"Gunman_F_05";"12";
"569";"Gunman_F_06";"12";
"570";"Gunman_F_07";"12";
"571";"Gunman_F_08";"12";
"572";"Gunman_F_09";"12";
"573";"Gunman_F_10";"12";
"574";"Gunman_F_11";"12";
"575";"Gunman_F_12";"12";
"576";"Gunman_F_13";"12";
"577";"Gunman_F_14";"12";
"578";"Gunman_F_15";"12";
"579";"Gunman_F_16";"12";
"580";"Gunman_F_17";"12";
"581";"Gunman_F_18";"12";
"582";"Gunman_F_19";"12";
"583";"Gunman_F_20";"12";
"584";"Gunman_F_21";"12";
"585";"Gunman_F_22";"12";
"586";"Gunman_F_23";"12";
"587";"Gunman_F_24";"12";
"588";"Gunman_F_25";"12";
"589";"Gunman_F_26";"12";
"590";"Gunman_F_27";"12";
"591";"Gunman_F_28";"12";
"592";"Gunman_M_01";"12";
"593";"Gunman_M_02";"12";
"594";"Gunman_M_03";"12";
"595";"Gunman_M_04";"12";
"596";"Gunman_M_05";"12";
"597";"Gunman_M_06";"12";
"598";"Gunman_M_07";"12";
"599";"Gunman_M_08";"12";
"600";"Gunman_M_09";"12";
"601";"Gunman_M_10";"12";
"602";"Gunman_M_11";"12";
"603";"Gunman_M_12";"12";
"604";"Gunman_M_13";"12";
"605";"Gunman_M_14";"12";
"606";"Gunman_M_15";"12";
"607";"Gunman_M_16";"12";
"608";"Gunman_M_17";"12";
"609";"Gunman_M_18";"12";
"610";"Gunman_M_19";"12";
"611";"Gunman_M_20";"12";
"612";"Gunman_M_21";"12";
"613";"Gunman_M_22";"12";
"614";"Gunman_M_23";"12";
"615";"Gunman_M_24";"12";
"616";"Gunman_M_25";"12";
"617";"Gunman_M_26";"12";
"618";"Gunman_M_27";"12";
"619";"Marksman_F_01";"12";
"620";"Marksman_F_02";"12";
"621";"Marksman_F_03";"12";
"622";"Marksman_F_04";"12";
"623";"Marksman_F_05";"12";
"624";"Marksman_F_06";"12";
"625";"Marksman_F_07";"12";
"626";"Marksman_F_08";"12";
"627";"Marksman_F_09";"12";
"628";"Marksman_F_10";"12";
"629";"Marksman_F_11";"12";
"630";"Marksman_F_12";"12";
"631";"Marksman_F_13";"12";
"632";"Marksman_F_14";"12";
"633";"Marksman_F_15";"12";
"634";"Marksman_F_16";"12";
"635";"Marksman_F_17";"12";
"636";"Marksman_F_18";"12";
"637";"Marksman_F_19";"12";
"638";"Marksman_F_20";"12";
"639";"Marksman_F_21";"12";
"640";"Marksman_F_22";"12";
"641";"Marksman_F_23";"12";
"642";"Marksman_F_24";"12";
"643";"Marksman_F_25";"12";
"644";"Marksman_F_26";"12";
"645";"Marksman_F_27";"12";
"646";"Marksman_F_28";"12";
"647";"Marksman_F_29";"12";
"648";"Marksman_F_30";"12";
"649";"Marksman_F_31";"12";
"650";"Marksman_F_32";"12";
"651";"Marksman_M_01";"12";
"652";"Marksman_M_02";"12";
"653";"Marksman_M_03";"12";
"654";"Marksman_M_04";"12";
"655";"Marksman_M_05";"12";
"656";"Marksman_M_06";"12";
"657";"Marksman_M_07";"12";
"658";"Marksman_M_08";"12";
"659";"Marksman_M_09";"12";
"660";"Marksman_M_10";"12";
"661";"Marksman_M_11";"12";
"662";"Marksman_M_12";"12";
"663";"Marksman_M_13";"12";
"664";"Marksman_M_14";"12";
"665";"Marksman_M_15";"12";
"666";"Marksman_M_16";"12";
"667";"Marksman_M_17";"12";
"668";"Marksman_M_18";"12";
"669";"Marksman_M_19";"12";
"670";"Marksman_M_20";"12";
"671";"Marksman_M_21";"12";
"672";"Marksman_M_22";"12";
"673";"Marksman_M_23";"12";
"674";"Marksman_M_24";"12";
"675";"Marksman_M_25";"12";
"676";"Marksman_M_26";"12";
"677";"Marksman_M_27";"12";
"678";"Marksman_M_28";"12";
"679";"Marksman_M_29";"12";
"680";"Marksman_M_30";"12";
"681";"Marksman_M_31";"12";
"682";"Marksman_M_32";"12";
"683";"Affiliated_F_01";"13";
"684";"Affiliated_F_02";"13";
"685";"Affiliated_F_03";"13";
"686";"Affiliated_F_04";"13";
"687";"Affiliated_F_05";"13";
"688";"Affiliated_F_06";"13";
"689";"Affiliated_M_01";"13";
"690";"Affiliated_M_02";"13";
"691";"Affiliated_M_03";"13";
"692";"Affiliated_M_04";"13";
"693";"Affiliated_M_05";"13";
"694";"Affiliated_M_06";"13";
"695";"Affiliated_M_07";"13";
"696";"Affiliated_M_08";"13";
"697";"Affiliated_M_09";"13";
"698";"Affiliated_M_10";"13";
"699";"Affiliated_M_11";"13";
"700";"Affiliated_M_12";"13";
"701";"Affiliated_M_13";"13";
"702";"Affiliated_M_14";"13";
"703";"Affiliated_M_15";"13";
"704";"Affiliated_M_16";"13";
"705";"ArmoredGunman_M_01";"13";
"706";"ArmoredGunman_M_02";"13";
"707";"ArmoredGunman_M_03";"13";
"708";"ArmoredGunman_M_04";"13";
"709";"ArmoredGunman_M_05";"13";
"710";"ArmoredGunman_M_06";"13";
"711";"ArmoredGunman_M_07";"13";
"712";"ArmoredGunman_M_08";"13";
"713";"ArmoredGunman_M_09";"13";
"714";"ArmoredGunman_M_10";"13";
"715";"ArmoredGunman_M_11";"13";
"716";"ArmoredGunman_M_12";"13";
